,2022,2021,2020,2019,2018,2017,2016,2015,2014
PKOBP,56.44150417827298,-16.65699361578642,-12.69318469723841,-10.923042202663055,57.46268656716418,2.96377607025247,-23.573825503355703,-9.284627092846272,49275.0
PKNORLEN,28.794156688217498,-32.74293923144424,-20.647244195601385,2.028292023585067,24.267300522591263,25.718485764674504,38.695812800230186,19.317098985120378,17536.07
PZU,9.23982593509785,-19.160651989204688,-8.815479101608977,4.127134633645505,26.949709878093003,-2.38094022374609,-30.00000953124844,8.252581325721529,38767.87
SANPL,87.6682602115452,-39.53031584408102,-14.182032775623954,36568.03,,,,,
CDPROJEKT,-29.719242396788708,2.9193159713149295,91.96431314741548,50.10307133265549,85.82390293096506,138.5699477923486,32.63415464756221,-4.788581859230704,1665.42
PEKAO,99.67263040533967,-39.173703428508354,-7.844041940310868,-15.830128211728974,2.9411791428683034,-12.334495791123976,-19.697825743975926,-0.44566966871612274,47113.37
INGBSK,56.14035087719297,-15.55555555555556,12.5,-12.451361867704284,27.385377942998772,37.7720418706639,-16.261587968566555,23.422984178305327,14746.84
PGNIG,13.677364878579487,28.049886938666972,-37.36613457770156,9.856929036802267,9.41867116235662,9.53307392996109,15.50561797752809,-13.592233009708737,30385.0
KGHM,-23.825136612021858,91.46264908976774,7.538253825382538,-20.071942446043167,20.242214532871973,45.66073397385415,-41.67202572347267,-7.754237288135593,23600.0
CYFRPLSAT,14.663175913805256,8.375044490657535,23.84753149396734,-9.251775728326935,1.0568982185658948,17.816084207247126,-11.148933452123286,117.89879940093282,6897.39
MBANK,141.84297769939292,-53.962378791636525,-8.17468338219367,-8.720598684431222,38.80747064604453,6.871662713318681,-36.904685449185344,-0.31488579936177685,21087.01
LPP,107.60419408730645,-6.065782571945678,12.356686233626197,-11.89675427398457,58.16442110508462,2.589662976136407,-23.21550427856251,-19.615585090148063,16480.11
LOTOS,47.165339945191185,-50.406815551925604,-5.559280472383299,53.37956856491728,50.8495476856808,41.66676683535073,50.722423356694456,-28.067706195251535,4604.01
PGE,24.030707330017396,-18.341698413658253,-20.3999869502038,-17.012447948613925,15.311018987665689,-18.295542739388754,-32.292216995689095,16.03192014641401,30439.71
DINOPL,26.917735942688726,100.97225055532887,50.234805733239845,21.637035550866916,7725.55,,,,
BNPPPL,43.493382992883824,-6.470653369897119,10024.49,,,,,,
ORANGEPL,28.224512166356003,-7.443822178748043,48.643136780784545,-17.271189898072667,5.0816681855709165,-16.006142359163064,-21.153770420036615,10918.81,
MILLENNIUM,150.61168824948513,-44.10256554779454,-34.04740552119588,-0.7829226777412422,72.25416449600387,-6.654627994656733,-33.012046038929896,15.277796859329278,8734.44
HANDLOWY,67.85232152033235,-32.14295740207471,-25.036162940351637,-15.608207200883122,7.186790220306597,6.244764184734995,-32.77226915051052,1.8570972486854294,13719.26
ASSECOPOL,26.945749709853658,6.99133252696872,38.00970227039399,4.865834782966014,-18.49532230334695,-4.999978788483,11.372495287052732,10.94215205266911,3815.52
ZYWIEC,4.545463688791536,-1.2245279120040713,6.060657147192213,-2.1185750205751988,6.546305656894201,14.618362817926027,2.2485106514499344,-11.173721164867295,4370.97
GTC,-2.9167620137299712,-25.61971162745177,18.6860665072459,-14.07689787523026,22.131390807095272,14.685386941392775,73.77585077842795,-20.416251633863315,2379.33
CCC,20.543726116970866,6.0410998834046,-43.093605369343436,-32.16888543387425,47.30076539836876,49.69926620955131,3.782771535580526,14.493996569468269,4477.44
BUDIMEX,-26.178936145549784,78.77905255534958,51.40851383688136,-46.41507063436049,7.09779804023998,2.036003585821471,37.10245784786755,7.197096710059747,3369.97
ALIOR,222.33355901602346,-40.829903666649756,-46.03945271179747,-32.47733168814942,46.712675316368944,44.86882245271506,-11.395826575846032,5.343719233219426,5180.1
ENEA,30.221884825102343,-17.43521788656047,-20.05043155129648,-13.913079449000223,21.052769630636437,-15.92927450233547,-25.657942780327065,11.764735276383256,6003.62
KETY,24.38437385104954,42.92643150519449,5.437118884236336,-19.45788045569023,6.3006573010580516,21.793484035488508,12.667878760671286,30.914273400462328,2041.84
KRUK,130.78025241276913,-15.223835507807344,7.37303054159895,-39.82497910850767,16.951856907104716,38.914746094717756,60.84062098205272,34.1032966876376,1403.53
EUROCASH,-22.846811644606287,-35.668716460535705,24.09125984477007,-33.509698261235464,-32.68244990451476,-18.73020069239097,27.792402516678195,-20.188408585178458,6601.61
ENERGA,-2.9189205755704304,11.299290489834902,-20.53863292621445,-30.007759335391096,39.89002152329743,-28.00636629912053,-45.11507481672026,44.57004073625435,6596.09
INTERCARS,100.42378584010982,15.12191594995283,-1.913796422311755,-32.58069583867434,11.691452461117485,16.61768500093416,6.013380534089565,18.376020662602617,2686.98
